periodo,tipo_indicador,nombre,valor_promedio,valor_min,valor_max,valor_std
2017-10,principales,ROE (Rentabilidad del Patrimonio),16.56,16.56,16.56,
2017-10,principales,Índice Solvencia,18.55,18.55,18.55,
2017-11,financieros,Activos Improductivos / Patrimonio Neto,2.07,2.07,2.07,
2017-11,financieros,Activos Netos Totales / Patrimonio Neto,9.6,9.6,9.6,
2017-11,financieros,Margen de Intermediación Neto,9.06,9.06,9.06,
2017-11,financieros,Spread de Tasas de Interés,12.08092071855338,12.08092071855338,12.08092071855338,
2017-11,morosidad,Morosidad Estresada,4.2913633005684915,0.0001965414241690304,11.71503239222102,2.8931217883121403
2017-11,morosidad,Morosidad Simple,2.2,2.2,2.2,
2017-11,principales,ROA,1.65,1.65,1.65,
2017-11,principales,ROE (Rentabilidad del Patrimonio),16.73,16.73,16.73,
2017-11,principales,Índice Solvencia,18.39,18.39,18.39,
2017-12,financieros,Activos Improductivos / Patrimonio Neto,2.14,2.14,2.14,
2017-12,financieros,Activos Netos Totales / Patrimonio Neto,9.67,9.67,9.67,
2017-12,financieros,Margen de Intermediación Neto,9.07,9.07,9.07,
2017-12,financieros,Spread de Tasas de Interés,11.648087622451659,11.648087622451659,11.648087622451659,
2017-12,morosidad,Morosidad Estresada,4.0237640941620265,0.0,8.204754442242368,2.449779459153695
2017-12,morosidad,Morosidad Simple,2.06,2.06,2.06,
2017-12,principales,ROA,1.6,1.6,1.6,
2017-12,principales,ROE (Rentabilidad del Patrimonio),16.75,16.75,16.75,
2017-12,principales,Índice Solvencia,18.26,18.26,18.26,
2018-01,financieros,Activos Improductivos / Patrimonio Neto,2.01,2.01,2.01,
2018-01,financieros,Activos Netos Totales / Patrimonio Neto,9.63,9.63,9.63,
2018-01,financieros,Margen de Intermediación Neto,9.27,9.27,9.27,
2018-01,financieros,Spread de Tasas de Interés,11.442513631491607,11.442513631491607,11.442513631491607,
2018-01,morosidad,Morosidad Estresada,4.284304854559714,0.0,9.933417358604219,2.7453086990054985
2018-01,morosidad,Morosidad Simple,2.13,2.13,2.13,
2018-01,principales,ROA,1.92,1.92,1.92,
2018-01,principales,ROE (Rentabilidad del Patrimonio),18.37,18.37,18.37,
2018-01,principales,Índice Solvencia,18.78,18.78,18.78,
2018-02,financieros,Activos Improductivos / Patrimonio Neto,2.13,2.13,2.13,
2018-02,financieros,Activos Netos Totales / Patrimonio Neto,9.46,9.46,9.46,
2018-02,financieros,Margen de Intermediación Neto,9.05,9.05,9.05,
2018-02,financieros,Spread de Tasas de Interés,11.60407905031579,11.60407905031579,11.60407905031579,
2018-02,morosidad,Morosidad Estresada,4.435950075073859,0.0,9.276564237437972,2.7615796135514525
2018-02,morosidad,Morosidad Simple,2.14,2.14,2.14,
2018-02,principales,ROA,1.88,1.88,1.88,
2018-02,principales,ROE (Rentabilidad del Patrimonio),17.78,17.78,17.78,
2018-02,principales,Índice Solvencia,18.15,18.15,18.15,
2018-03,financieros,Activos Improductivos / Patrimonio Neto,2.2,2.2,2.2,
2018-03,financieros,Activos Netos Totales / Patrimonio Neto,9.58,9.58,9.58,
2018-03,financieros,Margen de Intermediación Neto,9.23,9.23,9.23,
2018-03,financieros,Spread de Tasas de Interés,11.90263294003824,11.90263294003824,11.90263294003824,
