periodo,componente,promedio,minimo,maximo,entidades
2024-06,Capital secundario,59655.63,59655.63,59655.63,1
2024-06,Sobrante o faltante,124152.99,124152.99,124152.99,1
2024-06,Índice de solvencia,15.7,15.7,15.7,1
2024-06,Patrimonio técnico ajustado,341932.27,341932.27,341932.27,1
2024-05,Capital requerido por riesgo de mercado,231859.64,231859.64,231859.64,1
2024-05,Activos y contingentes ponderados por riesgo crediticio y deducciones al patrimonio,1910038.29,1910038.29,1910038.29,1
2024-05,Activos y contingentes ponderados por riesgo crediticio y riesgo de mercado,2141897.93,2141897.93,2141897.93,1
2024-05,Ajuste,-1921.37,-1921.37,-1921.37,1
2024-05,Capital primario,283967.11,283967.11,283967.11,1
2024-05,Capital secundario,59731.12,59731.12,59731.12,1
2024-05,Patrimonio técnico ajustado,341776.85,341776.85,341776.85,1
2024-05,Sobrante o faltante,127587.06,127587.06,127587.06,1
2024-05,Índice de solvencia,15.96,15.96,15.96,1
2024-04,Activos y contingentes ponderados por riesgo crediticio y deducciones al patrimonio,1880421.29,1880421.29,1880421.29,1
2024-04,Activos y contingentes ponderados por riesgo crediticio y riesgo de mercado,2099827.27,2099827.27,2099827.27,1
2024-04,Ajuste,-1863.17,-1863.17,-1863.17,1
2024-04,Capital primario,283936.11,283936.11,283936.11,1
2024-04,Capital requerido por riesgo de mercado,219405.98,219405.98,219405.98,1
2024-04,Capital secundario,59605.05,59605.05,59605.05,1
2024-04,Índice de solvencia,16.27,16.27,16.27,1
2024-04,Patrimonio técnico ajustado,341677.99,341677.99,341677.99,1
2024-04,Sobrante o faltante,131695.26,131695.26,131695.26,1
2024-03,Índice de solvencia,16.11,16.11,16.11,1
2024-03,Sobrante o faltante,125555.93,125555.93,125555.93,1
2024-03,Patrimonio técnico ajustado,331150.81,331150.81,331150.81,1
2024-03,Capital secundario,51913.27,51913.27,51913.27,1
2024-03,Capital primario,280256.3,280256.3,280256.3,1
2024-03,Ajuste,-1018.75,-1018.75,-1018.75,1
2024-03,Activos y contingentes ponderados por riesgo crediticio y riesgo de mercado,2055948.81,2055948.81,2055948.81,1
2024-03,Activos y contingentes ponderados por riesgo crediticio y deducciones al patrimonio,1851571.06,1851571.06,1851571.06,1
2024-03,Capital requerido por riesgo de mercado,204377.74,204377.74,204377.74,1
2024-02,Activos y contingentes ponderados por riesgo crediticio y deducciones al patrimonio,1830182.57,1830182.57,1830182.57,1
2024-02,Capital requerido por riesgo de mercado,191379.93,191379.93,191379.93,1
2024-02,Activos y contingentes ponderados por riesgo crediticio y riesgo de mercado,2021562.5,2021562.5,2021562.5,1
2024-02,Ajuste,-959.84,-959.84,-959.84,1
2024-02,Capital primario,260866.93,260866.93,260866.93,1
2024-02,Capital secundario,51871.75,51871.75,51871.75,1
2024-02,Patrimonio técnico ajustado,311778.84,311778.84,311778.84,1
2024-02,Sobrante o faltante,109622.59,109622.59,109622.59,1
2024-02,Índice de solvencia,15.42,15.42,15.42,1
2024-01,Índice de solvencia,15.14,15.14,15.14,1
2024-01,Sobrante o faltante,105958.2,105958.2,105958.2,1
2024-01,Patrimonio técnico ajustado,312207.9,312207.9,312207.9,1
2024-01,Capital secundario,52269.12,52269.12,52269.12,1
2024-01,Capital requerido por riesgo de mercado,244779.98,244779.98,244779.98,1
2024-01,Capital primario,260821.36,260821.36,260821.36,1
2024-01,Ajuste,-882.59,-882.59,-882.59,1
2024-01,Activos y contingentes ponderados por riesgo crediticio y riesgo de mercado,2062497.0,2062497.0,2062497.0,1
2024-01,Activos y contingentes ponderados por riesgo crediticio y deducciones al patrimonio,1817717.03,1817717.03,1817717.03,1
2023-12,Activos y contingentes ponderados por riesgo crediticio y deducciones al patrimonio,1786216.63,1786216.63,1786216.63,1
2023-12,Activos y contingentes ponderados por riesgo crediticio y riesgo de mercado,2012377.07,2012377.07,2012377.07,1
2023-12,Ajuste,-466.1,-466.1,-466.1,1
2023-12,Capital primario,242484.89,242484.89,242484.89,1
2023-12,Capital requerido por riesgo de mercado,226160.44,226160.44,226160.44,1
2023-12,Capital secundario,54163.27,54163.27,54163.27,1
2023-12,Índice de solvencia,14.72,14.72,14.72,1
2023-12,Patrimonio técnico ajustado,296182.05,296182.05,296182.05,1
2023-12,Sobrante o faltante,94944.35,94944.35,94944.35,1
2023-11,Índice de solvencia,14.57,14.57,14.57,1
2023-11,Sobrante o faltante,91851.96,91851.96,91851.96,1
2023-11,Patrimonio técnico ajustado,293040.17,293040.17,293040.17,1
2023-11,Capital secundario,51070.04,51070.04,51070.04,1
2023-11,Capital requerido por riesgo de mercado,239224.49,239224.49,239224.49,1
2023-11,Capital primario,242384.89,242384.89,242384.89,1
2023-11,Ajuste,-414.75,-414.75,-414.75,1
2023-11,Activos y contingentes ponderados por riesgo crediticio y riesgo de mercado,2011882.14,2011882.14,2011882.14,1
2023-11,Activos y contingentes ponderados por riesgo crediticio y deducciones al patrimonio,1772657.64,1772657.64,1772657.64,1
2023-10,Capital secundario,47221.65,47221.65,47221.65,1
2023-10,Activos y contingentes ponderados por riesgo crediticio y deducciones al patrimonio,1742819.73,1742819.73,1742819.73,1
2023-10,Activos y contingentes ponderados por riesgo crediticio y riesgo de mercado,2009126.05,2009126.05,2009126.05,1
2023-10,Ajuste,-591.0,-591.0,-591.0,1
2023-10,Capital primario,242102.31,242102.31,242102.31,1
2023-10,Capital requerido por riesgo de mercado,266306.32,266306.32,266306.32,1
2023-10,Patrimonio técnico ajustado,288732.96,288732.96,288732.96,1
2023-10,Sobrante o faltante,87820.36,87820.36,87820.36,1
2023-10,Índice de solvencia,14.37,14.37,14.37,1
2023-09,Capital primario,241552.31,241552.31,241552.31,1
2023-09,Activos y contingentes ponderados por riesgo crediticio y deducciones al patrimonio,1698584.44,1698584.44,1698584.44,1
2023-09,Activos y contingentes ponderados por riesgo crediticio y riesgo de mercado,1981358.18,1981358.18,1981358.18,1
2023-09,Ajuste,-625.58,-625.58,-625.58,1
2023-09,Capital requerido por riesgo de mercado,282773.74,282773.74,282773.74,1
2023-09,Capital secundario,47196.0,47196.0,47196.0,1
2023-09,Patrimonio técnico ajustado,288122.74,288122.74,288122.74,1
